Bird,Start_times,End_times,Freq_low,Freq_high,Full_clip_length
EATO.wav,"[21.438, 30.125, 41.039, 45.117]","[22.902, 31.589, 42.503, 46.581]",1070,15625,1.464
OVEN.wav,"[5.811, 30.935, 35.927, 36.864]","[8.359, 33.483, 38.475, 39.412]",2606,15625,2.548
NOCA.wav,[23.353],[23.481],1071,16939,1.066
AMCR.wav,[13.941],[14.138],400,8527,0.613
WOTH.wav,"[4.781, 23.731, 27.924]","[6.293, 25.243, 29.436]",1265,15479,1.512
BTNW.wav,[46.792],[48.23],3164,14262,1.438
BCCH.wav,"[11.763, 16.851, 58.581]","[13.329, 18.417, 60.147]",2385,10660,1.566
REVI.wav,[21.466],[21.889],1898,5500,0.423
TUTI.wav,[10.292],[10.499],2044,13824,0.531
RBWO.wav,[45.042],[45.135],584,14213,0.391
RWBL.wav,"[38.122, 49.086]","[39.054, 50.018]",584,15820,0.932
COYE.wav,[],[],2726,15917,1.073
HOWA.wav,[56.74],[57.742],2580,14019,1.002
SCTA.wav,[11.437],[13.227],1925,10784,1.79
BWWA.wav,[52.836],[54.449],2086,19033,1.613
SOSP.wav,[1.891],[4.176],1348,15856,2.285
SWSP.wav,[46.103],[48.539],2632,6805,2.436
AMRO.wav,[],[],1637,14764,0.86
BHCO.wav,[39.229],[40.161],867,17621,0.932
ACFL.wav,[10.771],[11.401],1541,15856,0.63
GRCA.wav,[34.083],[37.159],899,16048,3.076
BAWW.wav,[47.785],[48.165],3980,15856,1.605
